FIPS,clusters
20089,cluster_0
20091,cluster_0
20093,cluster_0
20095,cluster_0
20097,cluster_0
20099,cluster_0
20101,cluster_0
20103,cluster_0
20105,cluster_0
20107,cluster_0
20109,cluster_0
20111,cluster_0
20113,cluster_0
20115,cluster_0
20117,cluster_0
20119,cluster_0
20121,cluster_0
20123,cluster_0
20125,cluster_0
20127,cluster_0
20129,cluster_0
20131,cluster_0
20133,cluster_0
20135,cluster_0
20137,cluster_0
20139,cluster_0
20141,cluster_0
20143,cluster_0
20145,cluster_0
20147,cluster_0
20149,cluster_0
20151,cluster_0
20153,cluster_0
20155,cluster_0
20157,cluster_0
20159,cluster_0
20161,cluster_0
20163,cluster_0
20165,cluster_0
20167,cluster_0
20169,cluster_0
20171,cluster_0
20173,cluster_0
20175,cluster_0
20177,cluster_0
20179,cluster_0
20181,cluster_0
20183,cluster_0
20185,cluster_0
20187,cluster_0
20189,cluster_0
20191,cluster_0
20193,cluster_0
20195,cluster_0
20197,cluster_0
20199,cluster_0
20201,cluster_0
20203,cluster_0
20205,cluster_0
20207,cluster_0
20209,cluster_0
21001,cluster_0
21003,cluster_0
21005,cluster_0
21007,cluster_0
21009,cluster_0
21011,cluster_0
21013,cluster_3
21015,cluster_0
21017,cluster_0
21019,cluster_3
21021,cluster_0
21023,cluster_0
21025,cluster_3
21027,cluster_3
21029,cluster_0
21031,cluster_0
21033,cluster_0
21035,cluster_0
21037,cluster_0
21039,cluster_0
21041,cluster_0
21043,cluster_3
21045,cluster_3
21047,cluster_0
21049,cluster_0
21051,cluster_3
21053,cluster_0
21055,cluster_0
21057,cluster_0
21059,cluster_0
21061,cluster_0
21063,cluster_0
21065,cluster_0
21067,cluster_0
21069,cluster_0
21071,cluster_0
21073,cluster_0
21075,cluster_0
21079,cluster_0
21081,cluster_0
21083,cluster_0
21085,cluster_3
21087,cluster_0
21089,cluster_3
21091,cluster_0
21093,cluster_0
21095,cluster_3
21097,cluster_0
21099,cluster_0
21101,cluster_0
21103,cluster_0
21105,cluster_3
21107,cluster_0
21109,cluster_3
21111,cluster_0
21113,cluster_0
21115,cluster_3
21117,cluster_0
21119,cluster_3
21121,cluster_3
21123,cluster_0
21125,cluster_3
21127,cluster_3
21129,cluster_0
21131,cluster_3
21135,cluster_3
21137,cluster_0
21139,cluster_0
21141,cluster_0
21143,cluster_0
21145,cluster_0
21147,cluster_0
21149,cluster_3
21151,cluster_0
21153,cluster_0
21155,cluster_0
21157,cluster_0
21159,cluster_3
21161,cluster_0
21163,cluster_0
21165,cluster_0
21167,cluster_0
21169,cluster_0
21171,cluster_0
21173,cluster_0
21175,cluster_3
